city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Coinjock,Coinjock,NC,North Carolina,37053,Currituck,37053,Currituck,36.3513,-75.9527,331,152,polygon,FALSE,FALSE,America/New_York,3,27917 27923,1840025763
Potters Hill,Potters Hill,NC,North Carolina,37061,Duplin,37061,Duplin,34.9645,-77.6983,616,44,polygon,FALSE,FALSE,America/New_York,3,28572,1840025833
Laurel Hill,Laurel Hill,NC,North Carolina,37165,Scotland,37165,Scotland,34.8102,-79.546,1118,180,polygon,FALSE,FALSE,America/New_York,3,28351,1840024990
Carolina Shores,Carolina Shores,NC,North Carolina,37019,Brunswick,37019,Brunswick,33.9077,-78.5738,4146,598,polygon,FALSE,TRUE,America/New_York,3,28467,1840015581
Icard,Icard,NC,North Carolina,37023,Burke,37023,Burke,35.7253,-81.4582,2890,291,polygon,FALSE,FALSE,America/New_York,3,28612 28666 28602,1840013391
Leland,Leland,NC,North Carolina,37019,Brunswick,37019,Brunswick,34.204,-78.028,19976,392,polygon,FALSE,TRUE,America/New_York,3,28451 28479,1840016683
Whiteville,Whiteville,NC,North Carolina,37047,Columbus,37047,Columbus,34.3306,-78.7013,7449,376,polygon,FALSE,TRUE,America/New_York,3,28472,1840015570
Cooleemee,Cooleemee,NC,North Carolina,37059,Davie,37059,Davie,35.8126,-80.5561,965,492,polygon,FALSE,TRUE,America/New_York,3,27028 27014,1840016213
Belmont,Belmont,NC,North Carolina,37071,Gaston,37071,Gaston,35.2214,-81.0403,12046,387,polygon,FALSE,TRUE,America/New_York,3,28012,1840013469
Monroe,Monroe,NC,North Carolina,37179,Union,37179,Union,35.0061,-80.5593,35065,454,polygon,FALSE,TRUE,America/New_York,3,28110 28112 28111,1840014613
High Shoals,High Shoals,NC,North Carolina,37071,Gaston,37071,Gaston,35.3957,-81.2047,737,109,polygon,FALSE,TRUE,America/New_York,3,28034 28077,1840015455
Varnamtown,Varnamtown,NC,North Carolina,37019,Brunswick,37019,Brunswick,33.9432,-78.236,577,245,polygon,FALSE,TRUE,America/New_York,3,28462,1840016686
Robersonville,Robersonville,NC,North Carolina,37117,Martin,37117,Martin,35.8248,-77.2529,1374,433,polygon,FALSE,TRUE,America/New_York,3,27871,1840017760
Ruth,Ruth,NC,North Carolina,37161,Rutherford,37161,Rutherford,35.3824,-81.9448,413,375,polygon,FALSE,TRUE,America/New_York,3,28139,1840017833
Creswell,Creswell,NC,North Carolina,37187,Washington,37187,Washington,35.8743,-76.4033,241,164,polygon,FALSE,TRUE,America/New_York,3,27928,1840016241
South Rosemary,South Rosemary,NC,North Carolina,37083,Halifax,37083,Halifax,36.4463,-77.7065,2488,156,polygon,FALSE,FALSE,America/New_York,3,27870,1840033024
Southport,Southport,NC,North Carolina,37019,Brunswick,37019,Brunswick,33.9411,-78.0205,3725,363,polygon,FALSE,TRUE,America/New_York,3,28461,1840015582
Shelby,Shelby,NC,North Carolina,37045,Cleveland,37045,Cleveland,35.2904,-81.5451,26962,346,polygon,FALSE,TRUE,America/New_York,3,28152 28150 28151,1840015426
Cherokee,Cherokee,NC,North Carolina,37173,Swain,37173|37099,Swain|Jackson,35.486,-83.3011,2309,73,polygon,FALSE,FALSE,America/New_York,3,28719,1840026949
Belvoir,Belvoir,NC,North Carolina,37147,Pitt,37147,Pitt,35.7111,-77.47,670,130,polygon,FALSE,FALSE,America/New_York,3,27834,1840024930
Sims,Sims,NC,North Carolina,37195,Wilson,37195,Wilson,35.7601,-78.0589,287,634,polygon,FALSE,TRUE,America/New_York,3,27880,1840017785
Salvo,Salvo,NC,North Carolina,37055,Dare,37055,Dare,35.549,-75.4689,269,107,polygon,FALSE,FALSE,America/New_York,3,27972,1840025786
Badin,Badin,NC,North Carolina,37167,Stanly,37167,Stanly,35.4072,-80.1184,1960,417,polygon,FALSE,TRUE,America/New_York,3,28127 28009,1840015438
Lake Royale,Lake Royale,NC,North Carolina,37069,Franklin,37069,Franklin,35.9666,-78.196,2677,158,polygon,FALSE,TRUE,America/New_York,3,27549,1840040280
Long View,Long View,NC,North Carolina,37035,Catawba,37035|37023,Catawba|Burke,35.7217,-81.3858,4886,471,polygon,FALSE,TRUE,America/New_York,3,28601 28602,1840033007
Elizabethtown,Elizabethtown,NC,North Carolina,37017,Bladen,37017,Bladen,34.6238,-78.6097,2989,288,polygon,FALSE,TRUE,America/New_York,3,28337,1840016564
Sparta,Sparta,NC,North Carolina,37005,Alleghany,37005,Alleghany,36.5035,-81.1218,1744,280,polygon,FALSE,TRUE,America/New_York,3,28675,1840017700
Fremont,Fremont,NC,North Carolina,37191,Wayne,37191,Wayne,35.5436,-77.9751,1267,360,polygon,FALSE,TRUE,America/New_York,3,27830,1840016323
Plain View,Plain View,NC,North Carolina,37163,Sampson,37163,Sampson,35.2457,-78.5634,2120,49,polygon,FALSE,FALSE,America/New_York,3,28334,1840013486
Jacksonville,Jacksonville,NC,North Carolina,37133,Onslow,37133,Onslow,34.7287,-77.394,108872,576,polygon,FALSE,TRUE,America/New_York,2,28546 28547 28543 28540 28541 28542 28545,1840014653
Stallings,Stallings,NC,North Carolina,37179,Union,37179|37119,Union|Mecklenburg,35.109,-80.6594,15647,729,polygon,FALSE,TRUE,America/New_York,3,28104,1840017878
Harkers Island,Harkers Island,NC,North Carolina,37031,Carteret,37031,Carteret,34.7002,-76.5612,1447,249,polygon,FALSE,FALSE,America/New_York,3,28531,1840013523
Broad Creek,Broad Creek,NC,North Carolina,37031,Carteret,37031,Carteret,34.7304,-76.9241,2450,304,polygon,FALSE,FALSE,America/New_York,3,28570,1840025835
Duck,Duck,NC,North Carolina,37055,Dare,37055,Dare,36.1836,-75.7559,385,61,polygon,FALSE,TRUE,America/New_York,3,27949,1840016158
Lewiston Woodville,Lewiston Woodville,NC,North Carolina,37015,Bertie,37015,Bertie,36.1141,-77.1811,499,98,polygon,FALSE,TRUE,America/New_York,3,27849,1840016148
Cliffside,Cliffside,NC,North Carolina,37161,Rutherford,37161,Rutherford,35.248,-81.7653,258,42,polygon,FALSE,FALSE,America/New_York,3,28114,1840025817
Kings Mountain,Kings Mountain,NC,North Carolina,37045,Cleveland,37045|37071,Cleveland|Gaston,35.2348,-81.3501,10791,310,polygon,FALSE,TRUE,America/New_York,3,28086,1840014552
Andrews,Andrews,NC,North Carolina,37039,Cherokee,37039,Cherokee,35.1994,-83.8258,1819,413,polygon,FALSE,TRUE,America/New_York,3,28901,1840015474
Stem,Stem,NC,North Carolina,37077,Granville,37077,Granville,36.1963,-78.7201,560,143,polygon,FALSE,TRUE,America/New_York,3,27581,1840016051
Faith,Faith,NC,North Carolina,37159,Rowan,37159,Rowan,35.5901,-80.4581,796,286,polygon,FALSE,TRUE,America/New_York,3,28146 28041,1840016267
Stonewall,Stonewall,NC,North Carolina,37137,Pamlico,37137,Pamlico,35.1371,-76.7405,268,60,polygon,FALSE,TRUE,America/New_York,3,28583,1840016425
Clinton,Clinton,NC,North Carolina,37163,Sampson,37163,Sampson,35.0005,-78.3311,9428,434,polygon,FALSE,TRUE,America/New_York,3,28328 28329,1840014605
Fallston,Fallston,NC,North Carolina,37045,Cleveland,37045,Cleveland,35.4289,-81.5023,597,106,polygon,FALSE,TRUE,America/New_York,3,28090 28042,1840016335
Barker Heights,Barker Heights,NC,North Carolina,37089,Henderson,37089,Henderson,35.3104,-82.4412,1609,621,polygon,FALSE,FALSE,America/New_York,3,28792,1840013446
Spring Lake,Spring Lake,NC,North Carolina,37051,Cumberland,37051,Cumberland,35.1841,-78.9962,12580,209,polygon,FALSE,TRUE,America/New_York,3,28308 28390,1840017875
Lake Santeetlah,Lake Santeetlah,NC,North Carolina,37075,Graham,37075,Graham,35.3636,-83.8664,43,85,polygon,FALSE,TRUE,America/New_York,3,28771,1840001770
La Grange,La Grange,NC,North Carolina,37107,Lenoir,37107,Lenoir,35.3064,-77.789,2515,446,polygon,FALSE,TRUE,America/New_York,3,28551,1840016389
Taylorsville,Taylorsville,NC,North Carolina,37003,Alexander,37003,Alexander,35.9175,-81.1754,5595,353,polygon,FALSE,TRUE,America/New_York,3,28681,1840016220
Conover,Conover,NC,North Carolina,37035,Catawba,37035,Catawba,35.7156,-81.2168,8368,289,polygon,FALSE,TRUE,America/New_York,3,28613,1840014522
Butters,Butters,NC,North Carolina,37017,Bladen,37017,Bladen,34.5603,-78.8489,191,49,polygon,FALSE,FALSE,America/New_York,3,28320,1840013567
Murphy,Murphy,NC,North Carolina,37039,Cherokee,37039,Cherokee,35.0932,-84.0279,1638,248,polygon,FALSE,TRUE,America/New_York,3,28906,1840016437
Engelhard,Engelhard,NC,North Carolina,37095,Hyde,37095,Hyde,35.5092,-76.0096,613,73,polygon,FALSE,FALSE,America/New_York,3,27824,1840025809
Hobucken,Hobucken,NC,North Carolina,37137,Pamlico,37137,Pamlico,35.2544,-76.5712,80,6,polygon,FALSE,FALSE,America/New_York,3,28537,1840025831
Mulberry,Mulberry,NC,North Carolina,37193,Wilkes,37193,Wilkes,36.2257,-81.1653,2132,161,polygon,FALSE,FALSE,America/New_York,3,28659,1840013340
Beaufort,Beaufort,NC,North Carolina,37031,Carteret,37031,Carteret,34.7309,-76.6487,4164,331,polygon,FALSE,TRUE,America/New_York,3,28516,1840015496
Marshallberg,Marshallberg,NC,North Carolina,37031,Carteret,37031,Carteret,34.7267,-76.515,331,200,polygon,FALSE,FALSE,America/New_York,3,28553,1840025838
Kings Grant,Kings Grant,NC,North Carolina,37129,New Hanover,37129,New Hanover,34.2665,-77.8659,9119,775,polygon,FALSE,FALSE,America/New_York,3,28405,1840032902
Rowland,Rowland,NC,North Carolina,37155,Robeson,37155,Robeson,34.5362,-79.2928,1014,372,polygon,FALSE,TRUE,America/New_York,3,28383,1840017909
Mocksville,Mocksville,NC,North Carolina,37059,Davie,37059,Davie,35.9002,-80.562,5416,267,polygon,FALSE,TRUE,America/New_York,3,27028,1840016212
Cleveland,Cleveland,NC,North Carolina,37159,Rowan,37159,Rowan,35.7327,-80.6815,875,201,polygon,FALSE,TRUE,America/New_York,3,27013,1840016265
Parmele,Parmele,NC,North Carolina,37117,Martin,37117,Martin,35.819,-77.3146,258,83,polygon,FALSE,TRUE,America/New_York,3,27861 27871,1840016208
Boonville,Boonville,NC,North Carolina,37197,Yadkin,37197,Yadkin,36.234,-80.7093,1168,376,polygon,FALSE,TRUE,America/New_York,3,27011,1840015319
Fletcher,Fletcher,NC,North Carolina,37089,Henderson,37089,Henderson,35.4316,-82.5038,8233,497,polygon,FALSE,TRUE,America/New_York,3,28732,1840016371
Manteo,Manteo,NC,North Carolina,37055,Dare,37055,Dare,35.9013,-75.661,5403,292,polygon,FALSE,TRUE,America/New_York,3,27954,1840016156
Unionville,Unionville,NC,North Carolina,37179,Union,37179,Union,35.072,-80.5174,6705,88,polygon,FALSE,TRUE,America/New_York,3,28110,1840016457
White Oak,White Oak,NC,North Carolina,37017,Bladen,37017,Bladen,34.7396,-78.7186,121,9,polygon,FALSE,FALSE,America/New_York,3,28399,1840013568
Fayetteville,Fayetteville,NC,North Carolina,37051,Cumberland,37051,Cumberland,35.0846,-78.9776,324700,548,polygon,FALSE,TRUE,America/New_York,2,28304 28305 28306 28307 28301 28303 28308 28390 28311 28310 28314 28302 28309,1840013490
Cerro Gordo,Cerro Gordo,NC,North Carolina,37047,Columbus,37047,Columbus,34.3225,-78.9287,200,98,polygon,FALSE,TRUE,America/New_York,3,28430,1840016662
Lumber Bridge,Lumber Bridge,NC,North Carolina,37155,Robeson,37155,Robeson,34.8898,-79.0724,90,51,polygon,FALSE,TRUE,America/New_York,3,28357,1840016534
Staley,Staley,NC,North Carolina,37151,Randolph,37151,Randolph,35.7979,-79.5517,393,130,polygon,FALSE,TRUE,America/New_York,3,27355,1840017782
Mar-Mac,Mar-Mac,NC,North Carolina,37191,Wayne,37191,Wayne,35.3345,-78.0545,3003,254,polygon,FALSE,FALSE,America/New_York,3,28333 27530,1840033018
Edenton,Edenton,NC,North Carolina,37041,Chowan,37041,Chowan,36.058,-76.6008,4507,338,polygon,FALSE,TRUE,America/New_York,3,27932,1840016103
Spindale,Spindale,NC,North Carolina,37161,Rutherford,37161,Rutherford,35.3599,-81.9232,4218,304,polygon,FALSE,TRUE,America/New_York,3,28160,1840017835
Reidsville,Reidsville,NC,North Carolina,37157,Rockingham,37157,Rockingham,36.3379,-79.6727,13425,366,polygon,FALSE,TRUE,America/New_York,3,27320 27323 27375,1840014436
Autryville,Autryville,NC,North Carolina,37163,Sampson,37163,Sampson,34.9965,-78.6412,200,147,polygon,FALSE,TRUE,America/New_York,3,28318,1840015473
Gatesville,Gatesville,NC,North Carolina,37073,Gates,37073,Gates,36.4072,-76.7566,299,285,polygon,FALSE,TRUE,America/New_York,3,27938,1840016033
Frisco,Frisco,NC,North Carolina,37055,Dare,37055,Dare,35.2331,-75.6289,152,78,polygon,FALSE,FALSE,America/New_York,3,27936,1840025782
Castalia,Castalia,NC,North Carolina,37127,Nash,37127,Nash,36.0823,-78.0576,264,135,polygon,FALSE,TRUE,America/New_York,3,27816,1840016164
Biscoe,Biscoe,NC,North Carolina,37123,Montgomery,37123,Montgomery,35.3585,-79.7816,2784,240,polygon,FALSE,TRUE,America/New_York,3,27209,1840015435
Bayshore,Bayshore,NC,North Carolina,37129,New Hanover,37129,New Hanover,34.2893,-77.8025,3790,621,polygon,FALSE,FALSE,America/New_York,3,28411,1840033015
Cordova,Cordova,NC,North Carolina,37153,Richmond,37153,Richmond,34.9103,-79.812,1974,357,polygon,FALSE,FALSE,America/New_York,3,28379 28330,1840024981
Toast,Toast,NC,North Carolina,37171,Surry,37171,Surry,36.4966,-80.6346,1392,354,polygon,FALSE,FALSE,America/New_York,3,27030 27049,1840013306
River Bend,River Bend,NC,North Carolina,37049,Craven,37049,Craven,35.0717,-77.1504,3065,471,polygon,FALSE,TRUE,America/New_York,3,28562,1840017866
Trent Woods,Trent Woods,NC,North Carolina,37049,Craven,37049,Craven,35.081,-77.0945,4077,529,polygon,FALSE,TRUE,America/New_York,3,28562,1840016401
White Plains,White Plains,NC,North Carolina,37171,Surry,37171,Surry,36.4451,-80.6351,1086,104,polygon,FALSE,FALSE,America/New_York,3,27030 27031,1840013307
Maysville,Maysville,NC,North Carolina,37103,Jones,37103,Jones,34.9069,-77.2323,959,432,polygon,FALSE,TRUE,America/New_York,3,28555,1840016444
Bayboro,Bayboro,NC,North Carolina,37137,Pamlico,37137,Pamlico,35.1474,-76.7692,1235,257,polygon,FALSE,TRUE,America/New_York,3,28515,1840015470
Kingstown,Kingstown,NC,North Carolina,37045,Cleveland,37045,Cleveland,35.3621,-81.62,672,147,polygon,FALSE,TRUE,America/New_York,3,28150,1840016329
Hudson,Hudson,NC,North Carolina,37027,Caldwell,37027,Caldwell,35.8475,-81.4864,3698,382,polygon,FALSE,TRUE,America/New_York,3,28638,1840016187
Crossnore,Crossnore,NC,North Carolina,37011,Avery,37011,Avery,36.0222,-81.9308,201,173,polygon,FALSE,TRUE,America/New_York,3,28616,1840016113
Topsail Beach,Topsail Beach,NC,North Carolina,37141,Pender,37141,Pender,34.3744,-77.6321,420,36,polygon,FALSE,TRUE,America/New_York,3,28445,1840016604
West Canton,West Canton,NC,North Carolina,37087,Haywood,37087,Haywood,35.5384,-82.8671,1224,343,polygon,FALSE,FALSE,America/New_York,3,28716 28721,1840013415
Surf City,Surf City,NC,North Carolina,37141,Pender,37141|37133,Pender|Onslow,34.4345,-77.5643,2342,120,polygon,FALSE,TRUE,America/New_York,3,28445 28443,1840016603
Moyock,Moyock,NC,North Carolina,37053,Currituck,37053,Currituck,36.5165,-76.1728,3227,119,polygon,FALSE,FALSE,America/New_York,3,27958,1840025764
Mooresboro,Mooresboro,NC,North Carolina,37045,Cleveland,37045,Cleveland,35.2992,-81.6986,307,67,polygon,FALSE,TRUE,America/New_York,3,28114 28152,1840016332
Chapel Hill,Chapel Hill,NC,North Carolina,37135,Orange,37135|37063,Orange|Durham,35.927,-79.0391,59862,1073,polygon,FALSE,TRUE,America/New_York,3,27516 27514 27517 27515 27599,1840016152
Bonnetsville,Bonnetsville,NC,North Carolina,37163,Sampson,37163,Sampson,34.9993,-78.3962,507,59,polygon,FALSE,FALSE,America/New_York,3,28328,1840013482
Erwin,Erwin,NC,North Carolina,37085,Harnett,37085,Harnett,35.3226,-78.6734,4919,450,polygon,FALSE,TRUE,America/New_York,3,28339 28334,1840016328
Lake Park,Lake Park,NC,North Carolina,37179,Union,37179,Union,35.0848,-80.6349,3790,1869,polygon,FALSE,TRUE,America/New_York,3,28079,1840017879
Wrightsboro,Wrightsboro,NC,North Carolina,37129,New Hanover,37129,New Hanover,34.2895,-77.9217,5642,195,polygon,FALSE,FALSE,America/New_York,3,28401 28405 28429,1840013630
Red Cross,Red Cross,NC,North Carolina,37167,Stanly,37167,Stanly,35.2659,-80.3623,749,80,polygon,FALSE,TRUE,America/New_York,3,28129 28097,1840017854
Wingate,Wingate,NC,North Carolina,37179,Union,37179,Union,34.9855,-80.4496,3959,768,polygon,FALSE,TRUE,America/New_York,3,28174,1840016460
Washington Park,Washington Park,NC,North Carolina,37013,Beaufort,37013,Beaufort,35.5328,-77.0316,432,631,polygon,FALSE,TRUE,America/New_York,3,27889,1840016303
Bear Grass,Bear Grass,NC,North Carolina,37117,Martin,37117,Martin,35.766,-77.1291,69,100,polygon,FALSE,TRUE,America/New_York,3,27892,1840015356
Brevard,Brevard,NC,North Carolina,37175,Transylvania,37175,Transylvania,35.2439,-82.7265,13603,571,polygon,FALSE,TRUE,America/New_York,3,28712,1840013467
Stony Point,Stony Point,NC,North Carolina,37003,Alexander,37003|37097,Alexander|Iredell,35.8669,-81.047,2021,261,polygon,FALSE,FALSE,America/New_York,3,28678,1840013383
Pinetown,Pinetown,NC,North Carolina,37013,Beaufort,37013,Beaufort,35.6111,-76.8558,132,50,polygon,FALSE,FALSE,America/New_York,3,27865,1840025807
Highlands,Highlands,NC,North Carolina,37113,Macon,37113,Macon,35.0539,-83.1976,939,59,polygon,FALSE,TRUE,America/New_York,3,28741,1840015467
Siler City,Siler City,NC,North Carolina,37037,Chatham,37037,Chatham,35.7252,-79.4558,9424,527,polygon,FALSE,TRUE,America/New_York,3,27344,1840017783
Waxhaw,Waxhaw,NC,North Carolina,37179,Union,37179,Union,34.9364,-80.7437,15147,491,polygon,FALSE,TRUE,America/New_York,3,28173,1840016458
Rocky Point,Rocky Point,NC,North Carolina,37141,Pender,37141,Pender,34.4441,-77.8909,1879,105,polygon,FALSE,FALSE,America/New_York,3,28457,1840025848
Holly Ridge,Holly Ridge,NC,North Carolina,37133,Onslow,37133,Onslow,34.4952,-77.5271,2377,229,polygon,FALSE,TRUE,America/New_York,3,28445,1840016531
East Rockingham,East Rockingham,NC,North Carolina,37153,Richmond,37153,Richmond,34.9116,-79.766,3397,382,polygon,FALSE,FALSE,America/New_York,3,28379,1840013081
Riegelwood,Riegelwood,NC,North Carolina,37047,Columbus,37047,Columbus,34.3444,-78.2198,441,55,polygon,FALSE,FALSE,America/New_York,3,28456,1840025859
Ansonville,Ansonville,NC,North Carolina,37007,Anson,37007,Anson,35.1042,-80.1098,583,152,polygon,FALSE,TRUE,America/New_York,3,28170 28007,1840015479
Askewville,Askewville,NC,North Carolina,37015,Bertie,37015,Bertie,36.1116,-76.9412,224,146,polygon,FALSE,TRUE,America/New_York,3,27983,1840015332
Sugar Mountain,Sugar Mountain,NC,North Carolina,37011,Avery,37011,Avery,36.127,-81.8649,197,31,polygon,FALSE,TRUE,America/New_York,3,28604,1840017726
Harrisburg,Harrisburg,NC,North Carolina,37025,Cabarrus,37025,Cabarrus,35.3126,-80.649,15728,550,polygon,FALSE,TRUE,America/New_York,3,28075,1840016364
Chadbourn,Chadbourn,NC,North Carolina,37047,Columbus,37047,Columbus,34.325,-78.825,1742,258,polygon,FALSE,TRUE,America/New_York,3,28431,1840016663
Hemby Bridge,Hemby Bridge,NC,North Carolina,37179,Union,37179,Union,35.1058,-80.6258,1734,285,polygon,FALSE,TRUE,America/New_York,3,28079,1840015480
Wrightsville Beach,Wrightsville Beach,NC,North Carolina,37129,New Hanover,37129,New Hanover,34.213,-77.798,2548,703,polygon,FALSE,TRUE,America/New_York,3,28480,1840016677
Rex,Rex,NC,North Carolina,37155,Robeson,37155,Robeson,34.8507,-79.0469,25,13,polygon,FALSE,FALSE,America/New_York,3,28384 28378,1840013562
Oriental,Oriental,NC,North Carolina,37137,Pamlico,37137,Pamlico,35.0359,-76.6816,861,232,polygon,FALSE,TRUE,America/New_York,3,28571,1840016427
Jamestown,Jamestown,NC,North Carolina,37081,Guilford,37081,Guilford,35.9984,-79.9353,4167,546,polygon,FALSE,TRUE,America/New_York,3,27282 27265,1840016136
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth,37067,Forsyth,36.1029,-80.261,416581,712,polygon,FALSE,TRUE,America/New_York,2,27110 27127 27040 27107 27106 27105 27104 27103 27101 27109 27102 27108 27111 27113 27114 27115 27116 27117 27120 27130 27150 27152 27155 27157 27198 27199,1840015324
Seven Devils,Seven Devils,NC,North Carolina,37011,Avery,37011|37189,Avery|Watauga,36.1493,-81.8114,205,34,polygon,FALSE,TRUE,America/New_York,3,28604,1840017725
Boiling Spring Lakes,Boiling Spring Lakes,NC,North Carolina,37019,Brunswick,37019,Brunswick,34.0322,-78.068,4934,100,polygon,FALSE,TRUE,America/New_York,3,28461,1840013635
Gibsonville,Gibsonville,NC,North Carolina,37081,Guilford,37081|37001,Guilford|Alamance,36.0991,-79.5418,7096,762,polygon,FALSE,TRUE,America/New_York,3,27377 27249,1840016137
Hollister,Hollister,NC,North Carolina,37083,Halifax,37083,Halifax,36.2593,-77.9363,835,81,polygon,FALSE,FALSE,America/New_York,3,27844,1840025769
Peachland,Peachland,NC,North Carolina,37007,Anson,37007,Anson,34.9931,-80.266,404,154,polygon,FALSE,TRUE,America/New_York,3,28133,1840016451
Granite Quarry,Granite Quarry,NC,North Carolina,37159,Rowan,37159,Rowan,35.6126,-80.4484,2983,401,polygon,FALSE,TRUE,America/New_York,3,28146 28072,1840016268
Rockwell,Rockwell,NC,North Carolina,37159,Rowan,37159,Rowan,35.5538,-80.4072,2142,483,polygon,FALSE,TRUE,America/New_York,3,28138,1840017786
Wendell,Wendell,NC,North Carolina,37183,Wake,37183,Wake,35.7823,-78.3959,16408,530,polygon,FALSE,TRUE,America/New_York,3,27591,1840016200
Ocracoke,Ocracoke,NC,North Carolina,37095,Hyde,37095,Hyde,35.1264,-75.9212,404,18,polygon,FALSE,FALSE,America/New_York,3,27960,1840013427
Five Points,Five Points,NC,North Carolina,37093,Hoke,37093,Hoke,35.0154,-79.3513,781,36,polygon,FALSE,FALSE,America/New_York,3,28376,1840013503
Aquadale,Aquadale,NC,North Carolina,37167,Stanly,37167,Stanly,35.2244,-80.2236,221,26,polygon,FALSE,FALSE,America/New_York,3,28128,1840025823
Keener,Keener,NC,North Carolina,37163,Sampson,37163,Sampson,35.1131,-78.3094,435,15,polygon,FALSE,FALSE,America/New_York,3,28328,1840013485
Fair Bluff,Fair Bluff,NC,North Carolina,37047,Columbus,37047,Columbus,34.3126,-79.0333,896,147,polygon,FALSE,TRUE,America/New_York,3,28439,1840016664
Moravian Falls,Moravian Falls,NC,North Carolina,37193,Wilkes,37193,Wilkes,36.1069,-81.1808,2200,168,polygon,FALSE,FALSE,America/New_York,3,28654 28697,1840013339
Dallas,Dallas,NC,North Carolina,37071,Gaston,37071,Gaston,35.3167,-81.1826,4698,627,polygon,FALSE,TRUE,America/New_York,3,28034,1840016396
Garysburg,Garysburg,NC,North Carolina,37131,Northampton,37131,Northampton,36.4479,-77.5603,943,385,polygon,FALSE,TRUE,America/New_York,3,27831,1840016042
Cove City,Cove City,NC,North Carolina,37049,Craven,37049,Craven,35.189,-77.3206,391,236,polygon,FALSE,TRUE,America/New_York,3,28523,1840016399
Kelly,Kelly,NC,North Carolina,37017,Bladen,37017,Bladen,34.4639,-78.3109,349,11,polygon,FALSE,FALSE,America/New_York,3,28448,1840013569
Claremont,Claremont,NC,North Carolina,37035,Catawba,37035,Catawba,35.7102,-81.1533,1398,181,polygon,FALSE,TRUE,America/New_York,3,28610,1840014521
Pleasant Hill,Pleasant Hill,NC,North Carolina,37193,Wilkes,37193,Wilkes,36.258,-80.8904,751,112,polygon,FALSE,FALSE,America/New_York,3,28621,1840013341
Ayden,Ayden,NC,North Carolina,37147,Pitt,37147,Pitt,35.4694,-77.4167,5143,516,polygon,FALSE,TRUE,America/New_York,3,28513,1840015388
Pembroke,Pembroke,NC,North Carolina,37155,Robeson,37155,Robeson,34.6766,-79.1934,7544,366,polygon,FALSE,TRUE,America/New_York,3,28372,1840016541
Forest Oaks,Forest Oaks,NC,North Carolina,37081,Guilford,37081,Guilford,35.9889,-79.7079,3467,279,polygon,FALSE,FALSE,America/New_York,3,27406 27419,1840033016
Locust,Locust,NC,North Carolina,37167,Stanly,37167,Stanly,35.2687,-80.4368,3171,150,polygon,FALSE,TRUE,America/New_York,3,28107 28097,1840015437
Woodfin,Woodfin,NC,North Carolina,37021,Buncombe,37021,Buncombe,35.6458,-82.5914,6489,278,polygon,FALSE,TRUE,America/New_York,3,28804,1840016285
Mount Olive,Mount Olive,NC,North Carolina,37191,Wayne,37191|37061,Wayne|Duplin,35.1996,-78.0664,5264,639,polygon,FALSE,TRUE,America/New_York,3,28365,1840016321
Hamlet,Hamlet,NC,North Carolina,37153,Richmond,37153,Richmond,34.889,-79.7098,6314,466,polygon,FALSE,TRUE,America/New_York,3,28345,1840013516
Mint Hill,Mint Hill,NC,North Carolina,37119,Mecklenburg,37119|37179,Mecklenburg|Union,35.1781,-80.6532,26748,426,polygon,FALSE,TRUE,America/New_York,3,28227,1840016351
Lake Junaluska,Lake Junaluska,NC,North Carolina,37087,Haywood,37087,Haywood,35.5305,-82.9749,3108,224,polygon,FALSE,FALSE,America/New_York,3,28745 28786 28785,1840013416
Avery Creek,Avery Creek,NC,North Carolina,37021,Buncombe,37021,Buncombe,35.4651,-82.5719,2320,517,polygon,FALSE,FALSE,America/New_York,3,28704,1840013408
Kernersville,Kernersville,NC,North Carolina,37067,Forsyth,37067,Forsyth,36.1065,-80.0847,24386,532,polygon,FALSE,TRUE,America/New_York,3,27284 27285,1840016123
Elm City,Elm City,NC,North Carolina,37195,Wilson,37195,Wilson,35.8087,-77.8622,1292,644,polygon,FALSE,TRUE,America/New_York,3,27822,1840016261
Haw River,Haw River,NC,North Carolina,37001,Alamance,37001,Alamance,36.0925,-79.3615,2472,330,polygon,FALSE,TRUE,America/New_York,3,27253 27258 27217,1840015329
Archer Lodge,Archer Lodge,NC,North Carolina,37101,Johnston,37101,Johnston,35.6907,-78.3749,15180,208,polygon,FALSE,TRUE,America/New_York,3,27591 27527,1840025797
Littleton,Littleton,NC,North Carolina,37083,Halifax,37083,Halifax,36.4343,-77.911,609,247,polygon,FALSE,TRUE,America/New_York,3,27850,1840016062
Avon,Avon,NC,North Carolina,37055,Dare,37055,Dare,35.3467,-75.5069,848,144,polygon,FALSE,FALSE,America/New_York,3,27915,1840025780
McLeansville,McLeansville,NC,North Carolina,37081,Guilford,37081,Guilford,36.1045,-79.6554,1002,63,polygon,FALSE,FALSE,America/New_York,3,27301,1840013355
Northchase,Northchase,NC,North Carolina,37129,New Hanover,37129,New Hanover,34.3049,-77.8754,3500,785,polygon,FALSE,TRUE,America/New_York,3,28405,1840040283
Cherryville,Cherryville,NC,North Carolina,37071,Gaston,37071,Gaston,35.3844,-81.3781,6579,418,polygon,FALSE,TRUE,America/New_York,3,28021,1840014589
